date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:57	345/345	U--MCZ	200	updated ('OK')	text/plain	date:Mon,%2016%20Nov%202020%2022:21:56%20GMT	https://npcvet.wordpress.com/robots.txt		(from )
22:21:57	49118/49118	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2016%20Nov%202020%2022:21:56%20GMT	https://npcvet.wordpress.com/	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/index.html	(from )
22:22:29	37496/37496	U-----	200	untouched ('OK')	text/css	etag:W/%225bffef5d-9278%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/comment-likes/css/comment-likes.css,/i/noticons/noticons.css?m=1436783281j&cssminify=yes	C:/My%20Web%20Sites/vet/s1.wp.com/_static/indexba1f.html	(from https://npcvet.wordpress.com/)
22:22:33	12405/12405	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%225bffef57-30cd%22	https://s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/My%20Web%20Sites/vet/s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://npcvet.wordpress.com/)
22:22:34	1503/1503	U-----	200	untouched ('')	application/rss+xml	date:Mon,%2016%20Nov%202020%2022:21:09%20GMT	https://npcvet.wordpress.com/feed/	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/feed/index.html	(from https://npcvet.wordpress.com/)
22:22:49	906/906	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%22c2fab855210a62f608cc662d8224c5bf%22	https://npcvet.wordpress.com/comments/feed/	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/comments/feed/index.html	(from https://npcvet.wordpress.com/)
22:23:01	10046/10046	U-----	200	untouched ('')	image/png	etag:%225bffef52-273e%22	https://s2.wp.com/i/webclip.png	C:/My%20Web%20Sites/vet/s2.wp.com/i/webclip.png	(from https://npcvet.wordpress.com/)
22:23:10	855/855	U--MCZ	200	updated ('OK')	text/xml	date:Mon,%2016%20Nov%202020%2022:22:29%20GMT	https://npcvet.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/xmlrpc0db0.php	(from https://npcvet.wordpress.com/)
22:23:26	1403/1403	U--MCZ	200	updated ('OK')	application/xml	date:Mon,%2016%20Nov%202020%2022:22:34%20GMT	https://npcvet.wordpress.com/osd.xml	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/osd.xml	(from https://npcvet.wordpress.com/)
22:23:27	346/346	U--MCZ	200	updated ('OK')	text/plain	date:Mon,%2016%20Nov%202020%2022:22:49%20GMT	https://s1.wp.com/robots.txt		(from https://npcvet.wordpress.com/)
